Id,SalePrice
1461,126873.32839915995
1462,168405.78862232063
1463,190575.53679826204
1464,204968.8286320325
1465,191838.3273084741
1466,177476.99005050212
1467,173932.37517721858
1468,165908.85923348088
1469,183268.975881421
1470,122097.88467555027
1471,197643.89217258524
1472,98991.67640945036
1473,101716.53567274846
1474,149017.52649028413
1475,114117.5619452009
1476,373879.9494755231
1477,249314.77855162323
1478,290010.4316447368
1479,278870.1710460298
1480,481769.4173238445
1481,326385.8064936986
1482,209329.1471094666
1483,179492.6744694095
1484,169067.52250085678
1485,185996.77889079973
1486,194187.27130289935
1487,345049.83808815945
1488,225500.20738294348
1489,198737.68782040197
1490,253991.2835090086
1491,202028.83449895866
1492,93665.2102516815
1493,180267.6650143601
1494,287281.7807064224
1495,292202.3919731993
1496,256288.82288447674
1497,176886.6870845426
1498,172910.78212756384
1499,165128.829732446
1500,163658.25510309637
1501,208532.09317505173
1502,150463.42862220202
1503,291516.49100267235
1504,249138.44209868275
1505,220592.50101582054
1506,213612.14876328874
1507,278425.31413946673
1508,219890.96853574365
1509,163665.76011826098
1510,153217.33041555248
1511,153180.8654280696
1512,178089.26799155585
1513,149807.50094514806
1514,177118.73800474126
1515,206877.98881112318
1516,151215.15446926001
1517,177598.13786904886
1518,127263.80815700907
1519,229569.65627664234
1520,136261.98201694433
1521,139339.0746554751
1522,191288.31719675474
1523,111265.81265818421
1524,133551.98353684507
1525,121636.89487577695
1526,115437.20541939419
1527,106935.56629719492
1528,134745.17359893303
1529,150321.5670892708
1530,170358.75185064692
1531,131572.2473911969
1532,92146.45588241518
1533,157393.2953891307
1534,125973.7473233426
1535,156949.56218203995
1536,113190.88687556423
1537,73154.31565635651
1538,175013.84343742672
1539,214235.6773800589
1540,117477.37424616981
1541,162977.0728043206
1542,140823.2729254216
1543,203722.60010766145
1544,88347.6797385905
1545,117355.19766268041
1546,150147.81078158133
1547,156183.8632256454
1548,149072.62553284504
1549,119588.81252762582
1550,144457.01564687863
1551,110476.98789060023
1552,164122.7536435686
1553,165540.8583148392
1554,117745.01213132404
1555,170261.49165842682
1556,94908.48861106858
1557,110291.05984736234
1558,105812.28967043757
1559,108727.62580155302
1560,137438.11089370213
1561,136276.2792562833
1562,127539.59186702594
1563,127469.02305655554
1564,168471.51838539168
1565,154159.62158496678
1566,229884.41477455106
1567,72250.954860989
1568,247210.16682147328
1569,144350.0351470085
1570,150506.33236521296
1571,106755.83727868833
1572,146905.37827486824
1573,249630.395856685
1574,133629.16883704998
1575,237924.41222070996
1576,267427.99270186946
1577,180556.74442798458
1578,151725.42474243697
1579,149731.54844132997
1580,195815.37591879442
1581,162876.29166872147
1582,131905.2490532603
1583,327351.24617484864
1584,235205.50196208712
1585,143586.44244467
1586,69653.87965228595
1587,108677.21290099248
1588,170528.51329241507
1589,106621.75611688476
1590,132049.1076960275
1591,99619.23940273467
1592,121842.87994971406
1593,133136.12933255266
1594,170094.25070401188
1595,122095.89149991609
1596,228748.0268797418
1597,187878.5023990404
1598,200280.42411783338
1599,185778.96857035905
1600,177204.6570076961
1601,67792.5563635705
1602,126629.69720037282
1603,85141.85529445857
1604,272376.707424541
1605,255722.451663509
1606,167364.28431418817
1607,190389.70767166838
1608,217479.25876044855
1609,189469.25351951178
1610,165245.24342511036
1611,129313.1197256362
1612,173340.85645940807
1613,167623.55532411858
1614,130367.26475143433
1615,98074.34855974186
1616,78141.72444198653
1617,97176.24519915227
1618,123029.19952323101
1619,152392.9968204815
1620,185070.6038551079
1621,141871.80371010862
1622,137476.06300625484
1623,294083.8549369555
1624,210521.6554975286
1625,116336.3755093664
1626,148915.73923775926
1627,190433.30612614937
1628,296807.48080846854
1629,185615.9920626646
1630,358812.7661301261
1631,218224.18688395713
1632,227050.49089341238
1633,171799.1774162883
1634,192529.03668494895
1635,174845.60953213833
1636,153192.2758439593
1637,224972.0402347166
1638,196664.71182241105
1639,185448.4322833689
1640,269649.80373838916
1641,181213.60646806378
1642,244874.5735436622
1643,226639.03717160597
1644,234505.54312723782
1645,226526.74467831664
1646,165444.5997103015
1647,152312.59741733875
1648,134561.41776388418
1649,145748.00647284277
1650,112148.45944114961
1651,121035.33593391255
1652,102517.77092331741
1653,105342.33259499818
1654,144974.6395843951
1655,139106.23812553193
1656,146115.5762004694
1657,153370.83228417113
1658,146349.02047472168
1659,121600.52547002304
1660,168369.87736773118
1661,444660.40839958936
1662,390681.20087086223
1663,380084.8605113141
1664,423347.3230790794
1665,312944.9942312278
1666,324572.8822913952
1667,364824.17977343965
1668,337566.7345747063
1669,306492.88905458525
1670,338043.25674581155
1671,260557.34991916735
1672,441021.5238079354
1673,317847.2250603158
1674,250006.6658712197
1675,190547.63589014113
1676,202453.6647509886
1677,222486.82046709303
1678,454110.95411428344
1679,402364.87206986453
1680,337404.4178932421
1681,249038.27633510157
1682,305279.20970894117
1683,186669.89592607133
1684,178192.40830798633
1685,172587.67054418847
1686,172141.07504577376
1687,167319.04360716417
1688,188209.16158674844
1689,200480.91422903072
1690,198796.17559253797
1691,186702.90891310386
1692,261051.63025788777
1693,176926.2779113734
1694,183785.4058739785
1695,166505.59122979734
1696,277619.1267683245
1697,171037.37362002302
1698,364507.7439866485
1699,340503.77061293833
1700,248592.6616093926
1701,266082.06639438216
1702,241800.54834785685
1703,233814.5593431387
1704,291268.13789053354
1705,233754.48525390122
1706,401415.39797581173
1707,201400.72207251657
